Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Assumption about Environment,Task assumes the operating system family. None
"['testScripts', 'Repository1']",main.yml,3,Include OS-specific variables.,Broken Dependency Chain,None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Assumption about Environment,Task assumes the operating system family. None
"['testScripts', 'Repository1']",main.yml,12,Task 2,Broken Dependency Chain,None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Assumption about Environment,Task assumes a default running environment. None
"['testScripts', 'Repository1']",main.yml,15,Task 3,Broken Dependency Chain,None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Assumption about Environment,Task assumes the operating system family. None
"['testScripts', 'Repository1']",main.yml,18,Task 4,Broken Dependency Chain,None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Assumption about Environment,Task assumes the operating system family. None
"['testScripts', 'Repository1']",main.yml,21,Task 5,Broken Dependency Chain,None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Assumption about Environment,Task assumes the operating system family. None
"['testScripts', 'Repository1']",main.yml,24,Task 6,Broken Dependency Chain,None
"['testScripts', 'Repository1']",main.yml,27,Task 7,Idempotency,None None None
"['testScripts', 'Repository1']",main.yml,27,Task 7,Version Specific Installation,None
"['testScripts', 'Repository1']",main.yml,27,Task 7,Outdated Dependencies,None
"['testScripts', 'Repository1']",main.yml,27,Task 7,Missing Dependencies,None
"['testScripts', 'Repository1']",main.yml,27,Task 7,Hardware Specific Commands,None
"['testScripts', 'Repository1']",main.yml,27,Task 7,Assumption about Environment,Task assumes the operating system family. None
