Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,4,Get Domain UUID,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,6,Create a network object for Cisco FTD 1,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,11,Create a network object for Cisco FTD 2,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/FMCAnsible,network_object.yml,21,Create a Cisco network group,Broken Dependency Chain,Task did not check the correctness of execution.
