Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Assumption about Environment,"Task assumes that the package repository is available at a specific URL structure. 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,2,List all floating IPs,Broken Dependency Chain,Error
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Hardware Specific Commands,"












































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Assumption about Environment,"None 

task uses a software specific command.





"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible-collection-cloudscale,cleanup_floating_ips.yml,10,Remove all floating IPs created by this test run,Broken Dependency Chain,None
