Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,9,Create a Linode to host the MySQL server,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,11,Create a Linode to host the Adminer instance,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/ansible_linode,instances.yml,12,Wait for SSH to be available before continuing,Broken Dependency Chain,None
