Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,3,Assert 2777782-1,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-assert-selinux.yml,7,Import ../../RedHat/generic/assert-selinux.yml,Broken Dependency Chain,Task did not check the correctness of execution.
