Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,3,Configure 2292690-1,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,01-configure-tuned.yml,7,Import ../../RedHat/generic/configure-tuned.yml,Broken Dependency Chain,Task did not check the correctness of execution.
