Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Hardware Specific Commands,"


































































































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Assumption about Environment,"None 










"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,5,SAP HA Prepare Pacemaker - Include variable construction for standard VIP resources,Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
None"
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Hardware Specific Commands,"












































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Assumption about Environment,"None 








"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,14,SAP HA Prepare Pacemaker - Include variable construction for platform VIP resources,Broken Dependency Chain,None
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Hardware Specific Commands,"


































































































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Assumption about Environment,"None 










"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,include_construct_vip_resources.yml,15,SAP HA Prepare Pacemaker - Include variable construction for SAP Hana VIP constraints,Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
None"
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
