Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,5,SAP SWPM Pre Install - Check availability backup location - {{ sap_swpm_backup_location }},Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
Task did not check the correctness of execution."
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Idempotency,Task changes the state of the file without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Missing Dependencies,"
Task is using relative path for source path"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,restore_install.yml,11,SAP SWPM Pre Install - Change ownership of backup location - {{ sap_swpm_backup_location }},Broken Dependency Chain,None
