Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,4,SAP SWPM advanced_templates mode - Set product_catalog_id,Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
Task uses a fixed ID which can become outdated or incorrect across platforms.
Task did not check the correctness of execution."
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Idempotency,Task changes the state of the file without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Missing Dependencies,"
"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,9,SAP SWPM advanced_templates mode - Create temporary directory,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Idempotency,Task changes the state of the file without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Missing Dependencies,"
Task is using relative path for source path"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,16,SAP SWPM advanced_templates mode - Ensure 'inifile.params' exists,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Idempotency,Task changes the state of the file without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Missing Dependencies,"
Task is using relative path for source path"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,22,SAP SWPM advanced_templates mode - Loop over the dictionary and output to file,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,34,SAP SWPM advanced_templates mode - Detect Variables,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,swpm_inifile_generate_advanced_templates.yml,42,SAP SWPM advanced_templates mode - Prepare Software,Broken Dependency Chain,Task did not check the correctness of execution.
