Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,4,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP HANA),Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
None"
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,7,SAP HA Prepare Pacemaker - Validate SAP System ID (SAP Netweaver),Broken Dependency Chain,"Task uses a fixed ID which can become outdated or incorrect across platforms.
None"
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/community.sap_install,validate_input_parameters.yml,8,SAP HA Prepare Pacemaker - Verify that a SID is defined,Broken Dependency Chain,Task did not check the correctness of execution.
