Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Idempotency,Task violates idempotency because it executes a command.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Missing Dependencies,Error
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Hardware Specific Commands,"












































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,2,Check if packages are already installed,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,8,Add missing packages to the yum install list,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Idempotency,Task violates idempotency because it installs or upgrades packages with yum.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Outdated Dependencies,The installed package could become outdated because the script does not update it.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,fastpackages.yml,12,Install packages: {{ packages_to_install }},Broken Dependency Chain,None
