Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Idempotency,Task violates idempotency because it executes a command.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,2,Restart service,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/infinispan,start.yml,4,Wait for used port to be open,Broken Dependency Chain,None
