Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,2,Check OS Type,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Hardware Specific Commands,"










































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Assumption about Environment,"None 


"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,9,Check variable values,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,13,Run Insights Compliance scan,Broken Dependency Chain,None
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/product-demos,insights_compliance_scan.yml,17,Notify user that Compliance scan is not being attempted,Broken Dependency Chain,None
