Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Idempotency,Task violates idempotency because it installs packages with dnf.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Outdated Dependencies,The installed package could become outdated because the script does not update it.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Hardware Specific Commands,"
































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Assumption about Environment,"None 




"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,4,Fedora | install rdiff-backup,Broken Dependency Chain,Task did not check the correctness of execution.
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Idempotency,Task violates idempotency because it installs packages with dnf.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Outdated Dependencies,The installed package could become outdated because the script does not update it.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/rdiff-backup-ansible,dist_Fedora.yml,9,Fedora | install optional dependencies if requested,Broken Dependency Chain,None
