Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Idempotency,Task changes the state of the firewall without checking.
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Hardware Specific Commands,"
























































































































































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Assumption about Environment,"Task assumes the firewall and changes the state without checking. 












"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,2,open nxserver ports for all in ufw,Broken Dependency Chain,Error
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Hardware Specific Commands,"






















































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Assumption about Environment,"None 






"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,14,open nxserver ports for all in ferm,Broken Dependency Chain,None
Repository Name,File Name,Line Number,Task Name,Smell Name,Smell Description
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Idempotency,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Version Specific Installation,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Outdated Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Missing Dependencies,None
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Hardware Specific Commands,"












































































































































































































































































"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Assumption about Environment,"None 








"
/home/ghazal/Ansible-Reproducibility/src/extraction/test/testScripts/server,firewall.yml,16,block nxserver from external ferm hosts but open for internals,Broken Dependency Chain,None
